ID,Vendor ID,Is Preferred,Has Master,Consulting Only,Doc Type,Analyst J,User ID,OrgID,Change Order, Scaled C Total , Scaled Amount ,Submitted Date,System Entered Date,Contract Execute Date,Prelim Days,System Days,Total Days,NumPending,New system
30,144,FALSE,FALSE,FALSE,Software,FALSE,45,4,TRUE,0.131293998,0.156653777,9/21/2016,9/21/2016,12/16/2016,1,63,63,13,FALSE
31,20,TRUE,TRUE,FALSE,Professional Services,TRUE,27,13,TRUE,0.302311325,0.168914614,10/13/2017,1/8/2018,1/8/2018,62,1,62,29,TRUE
32,86,TRUE,TRUE,TRUE,Consulting,FALSE,22,4,TRUE,0.447207565,0.153814495,6/29/2017,7/4/2017,9/22/2017,4,59,62,18,TRUE
33,78,FALSE,TRUE,FALSE,Consulting,FALSE,117,13,FALSE,0.12194602,0.14757869,7/27/2016,7/27/2016,10/20/2016,1,62,62,11,FALSE
34,86,TRUE,TRUE,TRUE,Consulting,TRUE,56,4,TRUE,0.127134831,0.094873133,3/7/2017,3/7/2017,5/30/2017,1,61,61,14,FALSE
35,86,TRUE,TRUE,TRUE,Professional Services,TRUE,70,4,TRUE,0.163273924,0.133302676,12/16/2016,12/16/2016,3/10/2017,1,61,61,20,FALSE
36,20,TRUE,TRUE,FALSE,Managed Team,TRUE,40,4,TRUE,0.165704549,0.123078662,8/7/2017,8/12/2017,10/27/2017,5,55,60,26,TRUE
37,80,TRUE,TRUE,TRUE,Consulting,TRUE,107,18,FALSE,0.094033284,0.120480799,8/6/2018,8/11/2018,10/26/2018,5,55,60,7,TRUE
38,73,FALSE,TRUE,FALSE,Consulting,FALSE,51,12,TRUE,0.119279112,0.144989637,5/10/2015,5/12/2015,7/31/2015,2,59,60,22,FALSE
39,42,FALSE,TRUE,TRUE,Consulting,FALSE,31,4,TRUE,0.132578662,0.106820405,12/12/2015,12/12/2015,3/4/2016,0,60,60,18,FALSE
40,78,FALSE,TRUE,FALSE,Professional Services,FALSE,86,4,FALSE,0.100816581,0.127066075,7/4/2015,7/6/2015,9/25/2015,1,60,60,7,FALSE
41,86,TRUE,TRUE,TRUE,Consulting,TRUE,27,13,FALSE,0.089870427,0.116439467,9/1/2017,10/3/2017,11/22/2017,23,37,59,24,TRUE
42,88,FALSE,FALSE,FALSE,Software,TRUE,36,4,FALSE,0.161961927,0.106820405,8/29/2018,9/3/2018,11/19/2018,4,56,59,6,TRUE
43,81,FALSE,FALSE,FALSE,Professional Services,TRUE,95,13,FALSE,0.086897933,0.113553748,1/11/2018,1/16/2018,4/2/2018,4,55,58,11,TRUE
44,140,FALSE,TRUE,FALSE,Professional Services,FALSE,21,12,FALSE,0.089759536,0.116331813,8/18/2017,10/6/2017,11/6/2017,36,22,57,26,TRUE
45,36,FALSE,TRUE,TRUE,Consulting,FALSE,117,4,FALSE,0.14652806,0.171443117,6/30/2015,7/2/2015,9/16/2015,3,55,57,6,FALSE
46,132,TRUE,TRUE,FALSE,Professional Services,TRUE,86,4,FALSE,0.139073047,0.164205735,6/14/2016,8/22/2016,8/30/2016,50,7,56,12,FALSE
47,47,FALSE,FALSE,FALSE,Professional Services,TRUE,57,12,FALSE,0.104015394,0.130171506,12/22/2017,1/8/2018,3/9/2018,12,45,56,13,TRUE
48,20,TRUE,TRUE,FALSE,Professional Services,TRUE,94,13,FALSE,0.109755381,0.135743928,1/8/2018,1/13/2018,3/26/2018,5,51,56,14,TRUE
49,20,TRUE,TRUE,FALSE,Managed Team,FALSE,103,15,FALSE,0.430233643,0.446866599,3/4/2015,3/6/2015,5/20/2015,3,54,56,16,FALSE
50,20,TRUE,TRUE,FALSE,Managed Team,FALSE,110,19,TRUE,0.620245949,0.291285759,7/29/2015,7/31/2015,10/14/2015,3,54,56,13,FALSE
51,29,TRUE,TRUE,TRUE,Consulting,TRUE,28,4,FALSE,0.112722079,0.13862402,7/14/2017,7/28/2017,9/28/2017,11,45,55,18,TRUE
52,20,TRUE,TRUE,FALSE,Professional Services,FALSE,91,4,FALSE,0.267547726,0.190729666,12/17/2014,12/19/2014,3/3/2015,3,53,55,13,FALSE
53,20,TRUE,TRUE,FALSE,Managed Team,FALSE,40,19,FALSE,0.497847167,0.223600746,11/14/2015,11/16/2015,1/29/2016,1,55,55,17,FALSE
54,21,FALSE,TRUE,FALSE,Software,FALSE,86,19,FALSE,0.103195396,0.129375446,6/14/2016,6/14/2016,8/29/2016,1,55,55,12,FALSE
55,73,FALSE,TRUE,FALSE,Consulting,FALSE,101,18,FALSE,0.081464845,0.108279265,8/31/2016,8/31/2016,11/15/2016,1,55,55,19,FALSE
56,20,TRUE,TRUE,FALSE,Professional Services,TRUE,117,4,TRUE,0.097827902,0.106820405,10/4/2016,10/4/2016,12/19/2016,1,55,55,15,FALSE
57,86,TRUE,TRUE,TRUE,Consulting,TRUE,111,4,TRUE,0.259110794,0.153624767,7/21/2018,7/26/2018,10/4/2018,4,51,54,4,TRUE
58,132,TRUE,TRUE,FALSE,Professional Services,TRUE,23,4,TRUE,0.096362078,0.106820405,6/15/2017,6/23/2017,8/28/2017,7,47,53,18,TRUE
59,20,TRUE,TRUE,FALSE,Professional Services,FALSE,103,19,FALSE,0.209788471,0.232856792,12/10/2014,12/12/2014,2/20/2015,3,51,53,6,FALSE
60,20,TRUE,TRUE,FALSE,Managed Team,FALSE,127,13,FALSE,0.231977009,0.254397589,4/14/2015,4/16/2015,6/25/2015,3,51,53,18,FALSE
61,36,FALSE,TRUE,TRUE,Consulting,FALSE,23,4,TRUE,0.149524333,0.106820405,8/28/2015,8/28/2015,11/10/2015,1,53,53,14,FALSE
62,36,FALSE,TRUE,TRUE,Consulting,FALSE,23,9,TRUE,0.108949049,0.12313964,8/28/2015,8/28/2015,11/10/2015,1,53,53,14,FALSE
63,36,FALSE,TRUE,TRUE,Consulting,FALSE,23,9,TRUE,0.079962116,0.106820405,8/28/2015,8/28/2015,11/10/2015,1,53,53,14,FALSE
64,9,FALSE,FALSE,FALSE,Professional Services,FALSE,100,4,TRUE,0.124236548,0.110158551,12/21/2015,12/21/2015,3/2/2016,1,53,53,14,FALSE
65,61,FALSE,TRUE,FALSE,Consulting,FALSE,73,16,TRUE,0.185329824,0.135454692,12/28/2015,12/28/2015,3/9/2016,1,53,53,16,FALSE
66,36,FALSE,TRUE,TRUE,Consulting,FALSE,32,9,FALSE,0.582211644,0.594407969,1/15/2016,1/15/2016,3/29/2016,1,53,53,18,FALSE
67,36,FALSE,TRUE,TRUE,Consulting,FALSE,59,4,FALSE,0.109728048,0.135717392,5/26/2017,7/14/2017,8/7/2017,36,17,52,15,TRUE
68,44,FALSE,FALSE,FALSE,Consulting,FALSE,38,3,FALSE,0.148439612,0.128719492,6/28/2017,7/18/2017,9/7/2017,15,38,52,17,TRUE
69,27,FALSE,TRUE,FALSE,Consulting,FALSE,38,3,FALSE,0.104801636,0.130934795,6/28/2017,7/18/2017,9/7/2017,15,38,52,18,TRUE
70,36,FALSE,TRUE,TRUE,Consulting,FALSE,52,9,TRUE,1,0.106820405,10/18/2017,11/3/2017,12/28/2017,13,40,52,36,TRUE
71,3,FALSE,FALSE,FALSE,Professional Services,FALSE,23,4,TRUE,0.099095405,0.106820405,1/6/2017,1/6/2017,3/20/2017,1,52,52,10,FALSE
72,144,FALSE,FALSE,FALSE,Software,FALSE,92,4,FALSE,0.142145306,0.167188307,4/20/2015,4/22/2015,6/29/2015,3,49,51,22,FALSE
73,61,FALSE,TRUE,FALSE,Consulting,FALSE,41,11,TRUE,0.100884368,0.115686526,12/11/2015,12/11/2015,2/19/2016,1,51,51,17,FALSE
74,29,TRUE,TRUE,TRUE,Consulting,FALSE,9,4,FALSE,0.098937966,0.125242301,8/24/2017,9/20/2017,11/1/2017,19,31,50,28,TRUE
75,25,FALSE,TRUE,FALSE,Professional Services,TRUE,59,4,FALSE,0.086194102,0.112870463,7/7/2017,8/3/2017,9/14/2017,20,31,50,17,TRUE
76,36,FALSE,TRUE,TRUE,Consulting,TRUE,52,9,FALSE,0.11028838,0.136261367,8/11/2017,9/1/2017,10/19/2017,16,35,50,24,TRUE
77,121,TRUE,TRUE,FALSE,Managed Team,TRUE,107,4,FALSE,0.101116209,0.127356955,1/4/2018,1/17/2018,3/14/2018,10,41,50,14,TRUE
78,132,TRUE,TRUE,FALSE,Professional Services,TRUE,72,4,FALSE,0.238477318,0.260708138,5/18/2017,6/1/2017,7/25/2017,11,39,49,11,TRUE
79,36,FALSE,TRUE,TRUE,Consulting,FALSE,23,9,TRUE,0.240359897,0.125395144,10/14/2015,10/14/2015,12/21/2015,1,49,49,14,FALSE
80,20,TRUE,TRUE,FALSE,Managed Team,FALSE,30,15,FALSE,0.096967342,0.123329205,12/21/2015,12/21/2015,2/25/2016,1,49,49,14,FALSE
81,81,FALSE,FALSE,FALSE,Professional Services,TRUE,22,4,FALSE,0.140444357,0.165537013,5/11/2018,5/16/2018,7/17/2018,4,45,48,7,TRUE
82,62,FALSE,FALSE,TRUE,Consulting,TRUE,75,16,TRUE,0.163191925,0.106820405,8/23/2017,8/28/2017,10/27/2017,4,45,48,27,TRUE
83,86,TRUE,TRUE,TRUE,Professional Services,FALSE,55,4,TRUE,0.182191554,0.162978343,11/1/2016,11/1/2016,1/5/2017,1,48,48,29,FALSE
84,86,TRUE,TRUE,TRUE,Consulting,FALSE,53,4,TRUE,0.210899005,0.167786281,3/27/2018,5/3/2018,5/30/2018,28,20,47,9,TRUE
85,88,FALSE,FALSE,FALSE,Software,TRUE,36,4,FALSE,0.104107644,0.130261063,7/17/2017,8/4/2017,9/19/2017,15,33,47,19,TRUE
86,20,TRUE,TRUE,FALSE,Managed Team,FALSE,91,4,FALSE,0.085494162,0.112190957,7/20/2015,7/22/2015,9/22/2015,3,45,47,13,FALSE
87,20,TRUE,TRUE,FALSE,Professional Services,FALSE,110,19,FALSE,0.405319891,0.422680144,11/30/2015,12/2/2015,2/2/2016,3,45,47,15,FALSE
88,20,TRUE,TRUE,FALSE,Professional Services,TRUE,69,1,TRUE,0.177185485,0.158912316,8/4/2016,8/4/2016,10/7/2016,1,47,47,19,FALSE
89,132,TRUE,TRUE,FALSE,Professional Services,TRUE,37,4,TRUE,0.198875509,0.142643116,8/15/2017,9/18/2017,10/17/2017,25,22,46,24,TRUE
90,20,TRUE,TRUE,FALSE,Managed Team,TRUE,73,4,FALSE,0.1489574,0.173801538,4/5/2017,4/10/2017,6/7/2017,4,43,46,18,TRUE
91,40,FALSE,TRUE,FALSE,Professional Services,FALSE,73,4,TRUE,0.127795339,0.120088076,12/15/2017,12/20/2017,2/16/2018,4,43,46,15,TRUE
92,132,TRUE,TRUE,FALSE,Professional Services,TRUE,84,3,TRUE,0.109771781,0.106820405,10/16/2017,10/18/2017,12/18/2017,3,44,46,33,TRUE
93,62,FALSE,FALSE,TRUE,Consulting,FALSE,102,20,FALSE,0.189705197,0.161615886,2/2/2016,2/2/2016,4/5/2016,1,46,46,17,FALSE
94,132,TRUE,TRUE,FALSE,Professional Services,FALSE,86,4,TRUE,0.375817436,0.214527356,6/28/2016,6/28/2016,8/30/2016,1,46,46,18,FALSE
95,36,FALSE,TRUE,TRUE,Consulting,FALSE,59,4,TRUE,0.084226106,0.110959919,4/26/2015,4/28/2015,6/26/2015,2,44,45,23,FALSE
96,15,FALSE,FALSE,FALSE,Professional Services,FALSE,66,12,FALSE,0.082012111,0.108810556,1/26/2015,1/28/2015,3/26/2015,3,42,44,9,FALSE
97,20,TRUE,TRUE,FALSE,Professional Services,FALSE,18,13,FALSE,0.153819502,0.178521703,2/25/2016,2/25/2016,4/26/2016,1,44,44,15,FALSE
98,20,TRUE,TRUE,FALSE,Managed Team,FALSE,117,13,FALSE,0.221691737,0.116560107,2/26/2016,2/26/2016,4/27/2016,1,44,44,15,FALSE
99,62,FALSE,FALSE,TRUE,Consulting,TRUE,12,20,FALSE,0.163191925,0.18762052,2/14/2017,2/14/2017,4/14/2017,1,44,44,10,FALSE
100,56,FALSE,FALSE,FALSE,Professional Services,FALSE,#N/A,4,FALSE,0.111243404,0.137188512,10/15/2015,10/18/2015,12/14/2015,2,41,43,13,FALSE
101,36,FALSE,TRUE,TRUE,Consulting,FALSE,59,4,FALSE,0.152805282,0.17753709,2/15/2015,2/17/2015,4/15/2015,2,42,43,13,FALSE
102,73,FALSE,TRUE,FALSE,Consulting,FALSE,111,4,TRUE,0.884673279,0.048992466,4/5/2015,4/7/2015,6/3/2015,2,42,43,19,FALSE
103,82,FALSE,TRUE,FALSE,Software,FALSE,6,12,FALSE,0.084499439,0.111225272,4/18/2015,4/20/2015,6/17/2015,1,43,43,20,FALSE
104,61,FALSE,TRUE,FALSE,Consulting,FALSE,89,1,FALSE,0.098063574,0.124393435,12/9/2015,12/9/2015,2/5/2016,1,43,43,15,FALSE
105,36,FALSE,TRUE,TRUE,Professional Services,FALSE,117,4,FALSE,0.132578662,0.157900938,4/26/2016,4/26/2016,6/23/2016,1,43,43,10,FALSE
106,78,FALSE,TRUE,FALSE,Consulting,FALSE,117,13,FALSE,0.104337107,0.130483827,7/27/2016,7/27/2016,9/23/2016,1,43,43,11,FALSE
107,36,FALSE,TRUE,TRUE,Consulting,TRUE,105,4,TRUE,0.109728048,0.106820405,8/14/2017,9/7/2017,10/10/2017,19,24,42,24,TRUE
108,41,FALSE,FALSE,FALSE,Professional Services,FALSE,86,4,FALSE,0.113787038,0.13965789,7/21/2015,7/23/2015,9/16/2015,3,40,42,14,FALSE
109,36,FALSE,TRUE,TRUE,Consulting,FALSE,96,4,FALSE,0.120347023,0.146026372,9/15/2015,9/15/2015,11/11/2015,1,42,42,22,FALSE
110,56,FALSE,FALSE,FALSE,Professional Services,FALSE,86,4,FALSE,0.113438266,0.139319299,10/30/2015,10/30/2015,12/28/2015,1,42,42,19,FALSE
111,80,TRUE,TRUE,TRUE,Consulting,FALSE,123,1,TRUE,0.096318345,0.109996155,10/28/2016,10/28/2016,12/26/2016,1,42,42,24,FALSE
112,27,FALSE,TRUE,FALSE,Consulting,FALSE,77,20,FALSE,0.165007947,0.189383528,9/15/2017,10/5/2017,11/10/2017,15,27,41,21,TRUE
113,132,TRUE,TRUE,FALSE,Professional Services,TRUE,72,4,TRUE,0.260017124,0.127731409,9/26/2017,10/13/2017,11/21/2017,14,28,41,22,TRUE
114,20,TRUE,TRUE,FALSE,Managed Team,TRUE,95,13,FALSE,0.303698705,0.324025544,10/13/2017,10/18/2017,12/8/2017,4,38,41,28,TRUE
115,20,TRUE,TRUE,FALSE,Professional Services,TRUE,73,4,FALSE,0.096508858,0.122884105,4/5/2017,4/10/2017,5/31/2017,4,38,41,17,TRUE
116,20,TRUE,TRUE,FALSE,Professional Services,TRUE,40,4,TRUE,0.084591301,0.105773997,11/1/2016,11/1/2016,12/27/2016,1,41,41,29,FALSE
117,74,FALSE,FALSE,FALSE,Professional Services,TRUE,84,3,FALSE,0.084062107,0.110800707,5/18/2017,6/21/2017,7/12/2017,25,16,40,9,TRUE
118,86,TRUE,TRUE,TRUE,Consulting,TRUE,79,12,FALSE,0.091480356,0.118002398,7/30/2018,8/4/2018,9/21/2018,5,35,40,5,TRUE
119,61,FALSE,TRUE,FALSE,Consulting,FALSE,25,11,FALSE,0.100658868,0.112952059,12/18/2015,12/18/2015,2/11/2016,1,40,40,15,FALSE
120,132,TRUE,TRUE,FALSE,Professional Services,TRUE,72,4,TRUE,0.259333793,0.106157022,10/12/2017,11/28/2017,12/5/2017,34,6,39,25,TRUE
121,20,TRUE,TRUE,FALSE,Managed Team,TRUE,110,15,TRUE,0.413859887,0.145489669,5/14/2018,5/19/2018,7/5/2018,5,34,39,8,TRUE
122,20,TRUE,TRUE,FALSE,Professional Services,FALSE,117,4,FALSE,0.373516237,0.259211818,7/29/2015,7/31/2015,9/21/2015,3,37,39,13,FALSE
123,8,FALSE,TRUE,FALSE,Professional Services,FALSE,8,25,FALSE,0.109188762,0.106820405,8/5/2015,8/7/2015,9/28/2015,3,37,39,16,FALSE
124,92,FALSE,FALSE,FALSE,Consulting,FALSE,32,12,FALSE,0.104350227,0.130496564,2/1/2016,2/1/2016,3/24/2016,1,39,39,17,FALSE
125,78,FALSE,TRUE,FALSE,Professional Services,TRUE,117,1,FALSE,0.131616531,0.156966894,3/18/2016,3/18/2016,5/11/2016,1,39,39,18,FALSE
126,36,FALSE,TRUE,TRUE,Consulting,TRUE,70,4,FALSE,0.328011546,0.347628629,2/13/2017,2/13/2017,4/6/2017,1,39,39,11,FALSE
127,82,FALSE,TRUE,FALSE,Software,FALSE,85,4,TRUE,0.152648389,0.1371572,3/27/2017,4/1/2017,5/17/2017,5,33,38,13,TRUE
128,29,TRUE,TRUE,TRUE,Consulting,FALSE,79,12,FALSE,0.107100227,0.133166285,9/27/2017,10/4/2017,11/17/2017,6,33,38,24,TRUE
129,61,FALSE,TRUE,FALSE,Consulting,FALSE,73,1,TRUE,0.151493285,0.125660498,6/17/2015,6/19/2015,8/7/2015,3,36,38,13,FALSE
130,115,FALSE,FALSE,FALSE,Consulting,FALSE,82,11,FALSE,0.135699438,0.16093061,8/24/2015,8/26/2015,10/14/2015,3,36,38,15,FALSE
131,9,FALSE,FALSE,FALSE,Professional Services,FALSE,100,4,TRUE,0.124236548,0.114064554,9/7/2015,9/9/2015,10/28/2015,3,36,38,17,FALSE
132,98,FALSE,FALSE,FALSE,Software,FALSE,6,12,FALSE,0.090827091,0.117368204,5/3/2015,5/5/2015,6/24/2015,2,37,38,25,FALSE
133,132,TRUE,TRUE,FALSE,Professional Services,FALSE,86,4,FALSE,0.079962116,0.106820405,3/15/2017,3/16/2017,5/7/2017,2,37,38,15,FALSE
134,9,FALSE,FALSE,FALSE,Professional Services,FALSE,18,4,TRUE,0.175210364,0.13339555,2/11/2016,2/11/2016,4/4/2016,1,38,38,16,FALSE
135,20,TRUE,TRUE,FALSE,Professional Services,FALSE,18,13,FALSE,0.112674729,0.138578052,3/1/2016,3/1/2016,4/21/2016,1,38,38,16,FALSE
136,20,TRUE,TRUE,FALSE,Professional Services,TRUE,117,4,FALSE,0.098346556,0.124668156,4/20/2016,4/20/2016,6/10/2016,1,38,38,12,FALSE
137,20,TRUE,TRUE,FALSE,Professional Services,TRUE,117,4,FALSE,0.110436362,0.136405029,4/20/2016,4/20/2016,6/10/2016,1,38,38,12,FALSE
138,132,TRUE,TRUE,FALSE,Professional Services,TRUE,72,4,TRUE,0.357007772,0.106820405,7/24/2017,9/8/2017,9/12/2017,35,3,37,18,TRUE
139,88,FALSE,FALSE,FALSE,Software,TRUE,36,4,TRUE,0.104107644,0.106820405,11/9/2017,12/21/2017,12/29/2017,31,7,37,22,TRUE
140,86,TRUE,TRUE,TRUE,Consulting,FALSE,59,4,FALSE,0.104029881,0.13018557,5/29/2017,6/23/2017,7/18/2017,20,18,37,16,TRUE
141,145,FALSE,TRUE,FALSE,Professional Services,TRUE,21,12,TRUE,0.373135074,0.137423716,5/7/2018,5/12/2018,6/26/2018,5,32,37,7,TRUE
142,25,FALSE,TRUE,FALSE,Professional Services,TRUE,59,4,FALSE,0.102963063,0.129149895,3/20/2017,3/25/2017,5/9/2017,5,32,37,14,TRUE
143,20,TRUE,TRUE,FALSE,Managed Team,TRUE,117,13,FALSE,0.221691737,0.163027766,3/16/2016,3/16/2016,5/5/2016,1,37,37,17,FALSE
144,132,TRUE,TRUE,FALSE,Professional Services,TRUE,72,4,FALSE,0.357007772,0.375778381,5/18/2017,6/27/2017,7/6/2017,29,8,36,10,TRUE
145,67,FALSE,TRUE,FALSE,Professional Services,FALSE,55,12,FALSE,0.088080097,0.114701402,3/18/2015,3/20/2015,5/6/2015,3,34,36,18,FALSE
146,20,TRUE,TRUE,FALSE,Managed Team,FALSE,97,13,TRUE,0.275622374,0.164752193,8/31/2015,9/2/2015,10/19/2015,3,34,36,15,FALSE
147,20,TRUE,TRUE,FALSE,Managed Team,FALSE,97,13,FALSE,0.215948553,0.238837046,12/14/2014,12/16/2014,2/2/2015,2,35,36,11,FALSE
148,48,FALSE,TRUE,FALSE,Consulting,FALSE,37,12,TRUE,0.288157041,0.106820405,12/6/2015,12/8/2015,1/25/2016,2,35,36,13,FALSE
149,20,TRUE,TRUE,FALSE,Professional Services,FALSE,96,13,FALSE,0.216015036,0.238901588,12/13/2014,12/15/2014,2/2/2015,1,36,36,10,FALSE
150,36,FALSE,TRUE,TRUE,Consulting,FALSE,23,9,FALSE,0.119185359,0.14489862,10/26/2015,10/26/2015,12/14/2015,1,36,36,15,FALSE
151,20,TRUE,TRUE,FALSE,Professional Services,TRUE,69,1,FALSE,0.123527148,0.149113661,3/23/2016,3/23/2016,5/11/2016,1,36,36,22,FALSE
152,20,TRUE,TRUE,FALSE,Managed Team,TRUE,95,13,FALSE,0.12711168,0.152593551,11/15/2016,11/15/2016,1/3/2017,1,36,36,26,FALSE
153,36,FALSE,TRUE,TRUE,Consulting,FALSE,52,20,FALSE,0.304220667,0.324532268,5/2/2017,5/22/2017,6/19/2017,15,21,35,13,TRUE
154,36,FALSE,TRUE,TRUE,Consulting,TRUE,52,20,FALSE,0.382404754,0.400433959,10/16/2017,10/30/2017,12/1/2017,11,25,35,34,TRUE
155,145,FALSE,TRUE,FALSE,Professional Services,TRUE,21,12,TRUE,0.404658639,0.137423716,7/12/2018,7/17/2018,8/29/2018,4,32,35,3,TRUE
156,29,TRUE,TRUE,TRUE,Consulting,TRUE,57,12,TRUE,0.107655092,0.107359073,6/1/2018,6/6/2018,7/19/2018,4,32,35,5,TRUE
157,20,TRUE,TRUE,FALSE,Managed Team,FALSE,42,9,TRUE,0.198380374,0.151339576,5/10/2015,5/12/2015,6/26/2015,2,34,35,22,FALSE
158,20,TRUE,TRUE,FALSE,Professional Services,TRUE,117,1,FALSE,0.132452396,0.129202422,7/21/2016,7/21/2016,9/7/2016,1,35,35,12,FALSE
159,86,TRUE,TRUE,TRUE,Consulting,TRUE,73,6,FALSE,0.148099859,0.172969031,12/22/2017,1/17/2018,2/7/2018,19,16,34,14,TRUE
160,86,TRUE,TRUE,TRUE,Consulting,TRUE,73,13,FALSE,0.122514552,0.148130625,9/19/2017,9/29/2017,11/3/2017,9,26,34,20,TRUE
161,20,TRUE,TRUE,FALSE,Managed Team,FALSE,96,4,FALSE,0.216351461,0.239228192,3/4/2015,3/6/2015,4/20/2015,3,32,34,16,FALSE
162,73,FALSE,TRUE,FALSE,Consulting,FALSE,125,12,FALSE,0.216628468,0.239497113,4/5/2015,4/7/2015,5/21/2015,2,33,34,19,FALSE
163,40,FALSE,TRUE,FALSE,Professional Services,FALSE,37,4,FALSE,0.139569146,0.164687351,4/12/2015,4/14/2015,5/28/2015,2,33,34,19,FALSE
